SOURCELONG:Fiend Folio	SOURCESHORT:FF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-04																														
																																	
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	DESC:					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Regeneration	CATEGORY:Special Ability	TYPE:YuanTiAnathemaRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An anathema takes normal damage from force effects and adamantine weapons. Attack forms that don't deal hit point damage ignore regeneration, and an anathema does not restore hit points lost from starvation, thirst, or suffocation.	KEY:Yuan-Ti Anathema ~ Regeneration									BONUS:VAR|RegenerationRate|10|TYPE=Racial																		SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:YuanTiAnathemaRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Anathemas have a +8 racial bonus on Climb checks and can always choose to take 10 on Climb checks, even if rushed or threatened. Anathemas have a +8 racial bonus on any Swim check to perform some special action or avoid a hazard and can always choose to take 10 on Swim checks, even if distracted or endangered. Anathemas have a +8 racial bonus on Survival checks when tracking by scent.	KEY:Yuan-Ti Anathema ~ Skills									BONUS:SKILL|Climb|8|TYPE=Racial	BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial	BONUS:SITUATION|Survival=Track by scent|8|TYPE=Racial																SOURCEPAGE:FF	
																																	
Race Traits ~ Yugoloth (Psicoloth)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=YugolothPsicolothRaceTrait																														
Augmeneted Critical	CATEGORY:Special Ability	TYPE:YugolothPsicolothRaceTrait.RaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A piscoloth's pincer attack threatens a critical hit on a natural attack roll of 19-20. On a successful critical hit with a pincer attack, it deals triple damage.	KEY:Yugoloth (Psicoloth) ~ Augmented Critical									BONUS:WEAPONPROF=Pincer|CRITRANGEADD|1	BONUS:WEAPONPROF=Pincer|CRITMULTADD|1																	SOURCEPAGE:FF	
Paralysis	CATEGORY:Special Ability	TYPE:YugolothPsicolothRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Those hit by a piscoloth's tentacle attack must make a Fortitude save (DC %1) or be paralyzed for 2d6 minutes. The save DC is Constitution-Based.|ParalysisDC	KEY:Yugoloth (Psicoloth) ~ Paralysis				DEFINE:ParalysisDC|0					BONUS:VAR|ParalysisDC|DefaultDCCon	BONUS:VAR|ParalysisDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Paralysis)								ABILITY:Ability Focus|AUTOMATIC|Paralysis									SOURCEPAGE:FF	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:YugolothPsicolothRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Yugoloth (Psicoloth) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=9|Blink|Fear|Detect Good|Detect Magic|Protection from Good|Scare|See Invisibility	SPELLS:Innate|TIMES=3|CASTERLEVEL=9|Meld into Stone|Phantasmal Killer|Stinking Cloud	SPELLS:Innate|TIMES=2|CASTERLEVEL=9|Teleport (Greater) ~ Self only							SOURCEPAGE:FF	
Summon Yugoloth	CATEGORY:Special Ability	TYPE:YugolothPsicolothRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Three times per day, a piscoloth can attempt to summon 4 skeroloths with a 60%% chance of success (result of 41-100 on d%%).	KEY:Yugoloth (Psicoloth) ~ Summon Yugoloth																											SOURCEPAGE:FF	
All-Around Vision	CATEGORY:Special Ability	TYPE:YugolothPsicolothRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A psicoloth's eyes allow it to see in all directions at once. Because of this ability, it has a +4 racial bonus on Search and Spot checks, and it cannot be flanked.	KEY:Yugoloth (Psicoloth) ~ All-Around Vision									BONUS:SKILL|Search,Spot|4|TYPE=Racial									ABILITY:Special Ability|AUTOMATIC|All-Around Vision|Immunity To Flanking									SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:YugolothPsicolothRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Piscoloths have a +8 racial bonus on any Swim check to perform some special action or avoid a hazard and can always choose to take 10 on Swim checks, even if distracted or endangered.	KEY:Yugoloth (Psicoloth) ~ Skills									BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial																		SOURCEPAGE:FF	
																																	
Race Traits ~ Yugoloth (Skeroloth)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=YugolothSkerolothRaceTrait																														
Sneak Attack	CATEGORY:Special Ability	TYPE:YugolothSkerolothRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Anytime a skeroloth's target is denied a Dexterity bonus, or when a target is flanked by a skeroloth, the skeroloth deals an additional 1d6 points of damage on a successful melee attack.	KEY:Yugoloth (Skeroloth) ~ Sneak Attack									BONUS:VAR|SneakAttackDice|1									ABILITY:Special Ability|AUTOMATIC|Sneak Attack									SOURCEPAGE:FF	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:YugolothSkerolothRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Yugoloth (Skeroloth) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=4|Daze|Detect Good|Jump	SPELLS:Innate|TIMES=3|CASTERLEVEL=4|Burning Hands|Expeditious Retreat								SOURCEPAGE:FF	
Summon Yugoloth	CATEGORY:Special Ability	TYPE:YugolothSkerolothRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day, a skeroloth can attempt to summon 1 skeroloth with a 40%% chance of success (result of 61-100 on d%%).	KEY:Yugoloth (Skeroloth) ~ Summon Yugoloth																											SOURCEPAGE:FF	
Cringe	CATEGORY:Special Ability	TYPE:YugolothSkerolothRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:As a standard action, a skeroloth can cower in fear. This is a mind-affecting effect. Any opponent attempting to strike or otherwise directly attack a cringing skeroloth, even with a targeted spell, must attempt a Will save (DC %1). If the save succeeds, the opponent can attack normally and is immune to the effect of that skeroloth's cringing for one day. If the save fails, the opponent can't follow through with the attack, that part of the attacker's action is lost, and the attacker can't directly attack that skeroloth for as long as it continues to cringe. If the skeroloth stops cringing and then cringes again, the opponent may attempt a new Will save to attack it.|CringeDC	KEY:Yugoloth (Skeroloth) ~ Cringe				DEFINE:CringeDC|0					BONUS:VAR|CringeDC|DefaultDCCha	BONUS:VAR|CringeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Cringe)								ABILITY:Ability Focus|AUTOMATIC|Cringe									SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:YugolothSkerolothRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Skeroloths have a +4 racial bonus on Hide and Move Silently checks. Skeroloths also have a +8 racial bonus on Climb checks and can always choose to take 10 on Climb checks, even if rushed or threatened.	KEY:Yugoloth (Skeroloth) ~ Skills									BONUS:SKILL|Hide,Move Silently|4|TYPE=Racial	BONUS:SKILL|Climb|8|TYPE=Racial																	SOURCEPAGE:FF	
																																	
Race Traits ~ Yurian	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=YurianRaceTrait	AUTO:LANG|Aquan																													
Limited Regeneration	CATEGORY:Special Ability	TYPE:YurianRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Yurians can regrow lost body parts as part of their natural healing ability. If a yurian loses a limb or eyestalk, the lost part regrows as soon as the damage is healed by any means.	KEY:Yurian ~ Limited Regeneration																											SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:YurianRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Yurians have a +4 racial bonus on Hide checks. They have a +8 racial bonus on any Swim check to perform some special action or avoid a hazard and can always choose to take 10 on Swim checks, even if distracted or endangered.	KEY:Yurian ~ Skills									BONUS:SKILL|Hide|4|TYPE=Racial	BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial																	SOURCEPAGE:FF	
																																	
Race Traits ~ Zodar	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=ZodarRaceTrait																														
Constrict	CATEGORY:Special Ability	TYPE:ZodarRaceTrait.SpecialAttack.Extraordinary.Constrict	VISIBLE:YES	DESC:When fighting barehanded, a zodar seldom punches. Instead it attempts to grapple normally (grapple bonus +19). If the grapple attempt succeeds, then the zodar constricts its foe, dealing 1d6+7 points of damage each round the hold is maintained.	KEY:Zodar ~ Constrict									BONUS:VAR|ConstrictDice|1	BONUS:VAR|ConstrictDieSize|6|TYPE=Base																	SOURCEPAGE:FF	
Burst of Strength	CATEGORY:Special Ability	TYPE:ZodarRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Three times per day, a zodar can double its Strength to 50 for 1 round (Str bonus +20).	KEY:Zodar ~ Burst of Strength																											SOURCEPAGE:FF	
Invulnerability	CATEGORY:Special Ability	TYPE:ZodarRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A zodar is impervious to all attacks except those from bludgeoning weapons, and the enhancement bonus (if any) of such a weapon is disregarded when determining the result of the attack.	KEY:Zodar ~ Invulnerability																											SOURCEPAGE:FF	
Wish	CATEGORY:Special Ability	TYPE:ZodarRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Once per year, a zodar can alter reality as if it had just cast a wish spell as a sorcerer of the same level as its Hit Dice. None has ever been known to actually use this ability more than once in a century. Even when the effect of the wish is of great importance, it is likely to be subtle and largely unrecognized as the work of the zodar.	KEY:Zodar ~ Wish																											SOURCEPAGE:FF	
																																	
Race Traits ~ Symbiont (Cerebral Hood)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=SymbiontCerebralHoodRaceTrait	AUTO:LANG|Undercommon										BONUS:VAR|Maneuverability|4|TYPE=Base									ABILITY:FEAT|AUTOMATIC|Improved Initiative										
Engulf	CATEGORY:Special Ability	TYPE:SymbiontCerebralHoodRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A cerebral hood can try to wrap the head of a Medium-size or smaller creature in its body as a standard action. The hood attempts a grapple that does not provoke an attack of opportunity. If it gets a hold (grapple bonus -11), the target is effectively blinded and cannot breathe. The cerebral hood immediately begins trying to insert its tail into the victim's throat, which requires another successful grapple check. Because its grapple bonus is so poor, a cerebral hood generally attacks only stunned opponents in this manner.	KEY:Symbiont (Cerebral Hood) ~ Engulf													BONUS:VAR|SymbiontEgo|2														SOURCEPAGE:FF	
Mind Blast	CATEGORY:Special Ability	TYPE:SymbiontCerebralHoodRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:This attack is a 60-foot cone. Anyone caught in this cone must succeed on a Will save (DC %2) or be stunned for 1d4 rounds. Each time the cerebral hood uses this ability, it deals 1 point of Intelligence damage to the host. A cerebral hood without a host has a weaker mind blast. The cone is only 15 feet long, the save DC is only %1, and targets who fail their saves are stunned for only 1 round.|MindBlastDC+4|MindBlastDC	KEY:Symbiont (Cerebral Hood) ~ Mind Blast				DEFINE:MindBlastDC|0					BONUS:VAR|MindBlastDC|DefaultDCCha	BONUS:VAR|MindBlastDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Mind Blast)			BONUS:VAR|SymbiontEgo|2					ABILITY:Ability Focus|AUTOMATIC|Mind Blast									SOURCEPAGE:FF	
Mind Feeding	CATEGORY:Special Ability	TYPE:SymbiontCerebralHoodRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A cerebral hood survives by consuming its host's mental energy. This deals 1 point of Intelligence damage each day the hood remains attached. Ordinarily, the host regains 1 lost point of Intelligence each night, just before the cerebral hood drains a new point, keeping the host at an equilibrium point of -1 to its base Intelligence. When the cerebral hood uses its mind blast, however, it deals extra Intelligence damage, so overuse of that special attack can eventually destroy the host's mind.	KEY:Symbiont (Cerebral Hood) ~ Mind Feeding													BONUS:VAR|SymbiontEgo|2														SOURCEPAGE:FF	
Blindsight	CATEGORY:Special Ability	TYPE:SymbiontCerebralHoodRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A cerebral hood is blind, but its entire body is a primitive sensory organ that can ascertain prey by scent and vibration. This ability enables it to discern objects and creatures within 60 feet. The cerebral hood usually does not need to make Spot or Listen checks to notice creatures within range of its blindsight. A cerebral hood attached to a host shares its sensory input with the host, conferring blindsight on the host.	KEY:Symbiont (Cerebral Hood) ~ Blindsight									BONUS:VAR|BlindsightRange|60|TYPE=Base				BONUS:VAR|SymbiontEgo|1														SOURCEPAGE:FF	
Mouth Tube	CATEGORY:Special Ability	TYPE:SymbiontCerebralHoodRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A cerebral hood joins its host by extending its tail through the creature's mouth and down its throat. The host no longer needs to eat or breathe, since the cerebral hood supplies it with oxygen and nutrients through a tube in its tail. The host is immune to gases, including inhaled diseases and poisons, and is not at risk from starvation or dehydration as long as it has Intelligence for the cerebral hood to feed upon.	KEY:Symbiont (Cerebral Hood) ~ Mouth Tube													BONUS:VAR|SymbiontEgo|1														SOURCEPAGE:FF	
Telepathy	CATEGORY:Special Ability	TYPE:SymbiontCerebralHoodRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A cerebral hood can communicate telepathically with any creature within 100 feet that has a language.	KEY:Symbiont (Cerebral Hood) ~ Telepathy									BONUS:VAR|TelepathyRange|100|TYPE=Base				BONUS:VAR|SymbiontEgo|1														SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:SymbiontCerebralHoodRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A cerebral hood has a +4 racial bonus on Move Silently checks.	KEY:Symbiont (Cerebral Hood) ~ Skills									BONUS:SKILL|Move Silently|4|TYPE=Racial																		SOURCEPAGE:FF	
																																	
Race Traits ~ Symbiont (Mind Leech)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=SymbiontMindLeechRaceTrait																				ABILITY:FEAT|AUTOMATIC|Alertness|Spell Penetration										
Attach	CATEGORY:Special Ability	TYPE:SymbiontMindLeechRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:If a mind leech hits with its bite attack, it burrows into the target's flesh and makes its way to the brain stem. Since the bite deals no damage and the leech secretes an anesthetic, the host is often unaware it has been bitten until the mind leech has established itself at the seat of the host's central nervous system.	KEY:Symbiont (Mind Leech) ~ Attach													BONUS:VAR|SymbiontEgo|2														SOURCEPAGE:FF	
Mind Blast	CATEGORY:Special Ability	TYPE:SymbiontMindLeechRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:This attack is a 60-foot cone. Anyone caught in this cone must make a Will save (DC %1) or be stunned for 1d4 rounds. Each time the mind leech uses this ability, it deals 1 point of Intelligence damage to the host. A mind leech without a host cannot use this ability.|MindBlastDC	KEY:Symbiont (Mind Leech) ~ Mind Blast				DEFINE:MindBlastDC|0					BONUS:VAR|MindBlastDC|DefaultDCCha	BONUS:VAR|MindBlastDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Mind Blast)			BONUS:VAR|SymbiontEgo|2					ABILITY:Ability Focus|AUTOMATIC|Mind Blast									SOURCEPAGE:FF	
Psionics	CATEGORY:Special Ability	TYPE:SymbiontMindLeechRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Each time the mind leech uses its charm monster or suggestion powers, it deals 1 point of Intelligence damage to the host. Using its dominate person ability deals 2 points of Intelligence damage. A mind leech without a host cannot use these abilities (though it can detect thoughts).	KEY:Symbiont (Mind Leech) ~ Psionics													BONUS:VAR|SymbiontEgo|7					SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=10|Charm Monster|Detect Thoughts|Dominate Person|Suggestion									SOURCEPAGE:FF	
