SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-05
																																				
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page				
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.VoidDiscipleClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A void disciple continues her magical training while mastering the powers of void. At 2nd, 4th, 5th, 6th, 8th, 10th, 11th, and 12th level, the character gains new spells per day (and spells known, if applicable) as if she had also gained one level in a previous spellcasting class. She does not, however, gain any other benefi t a character of that class would have gained (improved chance of turning or destroying undead, metamagic or item creation feats, and so on). If the character had more than one spellcasting class in which she could cast 3rd-level spells before becoming a void disciple, the player must decide to which class to add each void disciple level for the purpose of determining spells per day and spells known.	KEY:Void Disciple ~ Spells per Day																										SORTKEY:Class_Void_Disciple	SOURCEPAGE:CD				
Sense Void	CATEGORY:Special Ability	TYPE:ClassFeatures.VoidDiscipleClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The first technique taught to the void disciple is the ability to reach out with the mind and sense the world around, exploring the unseen layer of reality most people rarely experience. The void disciple's consciousness actually departs her body and extends into the world, allowing her to use her normal senses (sight, hearing, touch, taste, smell) to perceive whatever area, person, or thing she directs her attention to. The void disciple must make a Spellcraft check, with the DC determined by distance, not familiarity. A void disciple cannot sense across planar boundaries. Thus, a void disciple standing on one side of a gate could not extend her senses through it. With every four levels a void disciple attains beyond 1st, she gains the ability to perceive deeper levels of reality. At 5th level, a void disciple can use detect magic and detect evil at will. At 9th level, she can use discern lies and read emotional states, gaining a +10 bonus on Sense Motive checks. At 13th level, she can detect thoughts at will. A void disciple can use this ability once per day at 1st level. With every two levels she attains beyond 1st, she can use the ability an additional time per day (twice at 3rd level, three times at 5th, and so on).	KEY:Void Disciple ~ Sense Void	DESC:%1/day|SenseVoidTimes			DEFINE:SenseVoidTimes|0					BONUS:VAR|SenseVoidTimes|(((VoidDiscipleLVL+1)/2))																	SORTKEY:Class_Void_Disciple	SOURCEPAGE:CD	ASPECT:Name|Sense Void (Physical Senses)|PREVARGTEQ:VoidDiscipleLVL,1|PREVARLTEQ:VoidDiscipleLVL,3	ASPECT:Name|Sense Void (Magical Senses)|PREVARGTEQ:VoidDiscipleLVL,4|PREVARLTEQ:VoidDiscipleLVL,8	ASPECT:Name|Sense Void (Empathic Senses)|PREVARGTEQ:VoidDiscipleLVL,9|PREVARLTEQ:VoidDiscipleLVL,12	ASPECT:Name|Sense Void (Mental Senses)|PREVARGTEQ:VoidDiscipleLVL,13
Moment of Clarity	CATEGORY:Special Ability	TYPE:ClassFeatures.VoidDiscipleClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A void disciple of 4th level or higher can grant an ally the temporary ability to perform any skill or feat (with the exception of ancestor feats). The void disciple must use a standard action to touch the target. The target gains either one feat or a number of ranks in one skill equal to his relevant ability modifier for that skill. For example, a character with Dexterity 14 could gain 2 ranks in Ride, for a total skill modifier of +4. The effect lasts for 1 round per level of the void disciple. The void disciple can use this supernatural ability twice per day at 4th level, plus an additional use for every four additional levels she attains.	KEY:Void Disciple ~ Moment of Clarity	DESC:%1/day|MomentOfClarityTimes			DEFINE:MomentOfClarityTimes|0					BONUS:VAR|MomentOfClarityTimes|1+(((VoidDiscipleLVL)/4))																	SORTKEY:Class_Void_Disciple	SOURCEPAGE:CD				
Altering the Course	CATEGORY:Special Ability	TYPE:ClassFeatures.VoidDiscipleClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Once per day, a void disciple of 7th level or higher can add a +20 bonus on any single attack roll, skill check, or ability check she makes. She cannot transfer this bonus to another character by any means. This supernatural ability requires no action, and lasts only the duration of the single check.	KEY:Void Disciple ~ Altering the Course																										SORTKEY:Class_Void_Disciple	SOURCEPAGE:CD				
Void Release	CATEGORY:Special Ability	TYPE:ClassFeatures.VoidDiscipleClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Three times per day, a void disciple of 10th level or higher can touch an ally, allowing that character to use his highest ability score modifier in place of any one lower modifier (target's choice) for a number of rounds equal to half the void disciple's level. For example, a severely wounded fighter could use his high Strength modifier in place of his low Dexterity modifier for a few rounds, increasing his Armor Class, Reflex save bonus, and ranged attack bonus (as well as Dexteritybased skills)	KEY:Void Disciple ~ Void Release	DESC:%1/day|VoidReleaseTimes			DEFINE:VoidReleaseTimes|0					BONUS:VAR|VoidReleaseTimes|3|TYPE=Base																	SORTKEY:Class_Void_Disciple	SOURCEPAGE:CD				
Void Suppression	CATEGORY:Special Ability	TYPE:ClassFeatures.VoidDiscipleClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day, a void disciple of 12th level or higher can make a melee touch attack to force the target to use his lowest ability score modifier in place of any one higher modifier (void disciple's choice) for 5 rounds. For example, a void disciple could force an ogre to use his low Intelligence modifier in place of his high Strength modifier, severely weakening the brute's physical blows.	KEY:Void Disciple ~ Void Suppression	DESC:%1/day|VoidSuppressionTimes			DEFINE:VoidSuppressionTimes|0					BONUS:VAR|VoidSuppressionTimes|1|TYPE=Base																	SORTKEY:Class_Void_Disciple	SOURCEPAGE:CD				
Void Strike	CATEGORY:Special Ability	TYPE:ClassFeatures.VoidDiscipleClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day, a 13thlevel void disciple can make a melee touch attack to bestow 1d4 negative levels on the target. The void disciple gains 5 temporary hit points for each negative level she bestows. If the target has at least as many negative levels as Hit Dice, he dies. Each negative level gives a creature a -1 competence penalty on attack rolls, saving throws, skill checks, ability checks, and effective level (for determining the power, duration, DC, and other details of spells or special abilities). Additionally, a spellcaster loses one spell or spell slot from his highest available level. Negative levels stack. Assuming the target survives, he regains lost levels after 13 hours pass. This ability relies on the void disciple's mastery of void, not negative energy, so it cannot be used to benefit undead.	KEY:Void Disciple ~ Void Strike	DESC:%1/day|VoidStrikeTimes			DEFINE:VoidStrikeTimes|0					BONUS:VAR|VoidStrikeTimes|1|TYPE=Base																	SORTKEY:Class_Void_Disciple	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.WarpriestClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Warpriests gain proficiency with all simple and martial weapons, with all types of armor, and shields (including tower shields).	KEY:Warpriest ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProfTower						SORTKEY:Class_Warpriest	SOURCEPAGE:CD				
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.WarpriestClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A warpriest continues advancing in divine spellcasting ability. When a warpriest gains a new even-numbered level, the character gains new divine spells per day (and spells known, if applicable) as if he had also gained a level in whatever divine spellcasting class he belonged to before he added the prestige class. He does not, however, gain any other benefit a character of that class would have gained (improved chance of controlling or rebuking undead, more frequent remove disease, and so on). For example, an 8th-level cleric/2nd-level warpriest gains divine spells per day as if he had risen to 9th level as a cleric. When he next gains a level as a warpriest, making him an 8th-level cleric/3rd-level warpriest, his number of divine spells per day does not change; but when he improves his warpriest level to 4th, he gains divine spells per day as if he had risen to 10th level as a cleric. If a character had more than one divine spellcasting class before he became a warpriest, the player must decide which class to assign each even-numbered level of warpriest for the purpose of determining divine spells per day and spells known.	KEY:Warpriest ~ Spells per Day																										SORTKEY:Class_Warpriest	SOURCEPAGE:CD				
Bonus Domain	CATEGORY:Special Ability	TYPE:ClassFeatures.WarpriestClassFeatures.SpecialAttack	VISIBLE:YES	DESC:At 1st level, a warpriest gains the Glory domain (if he turns undead) or the Domination domain (if he rebukes undead).	KEY:Warpriest ~ Bonus Domain																										SORTKEY:Class_Warpriest	SOURCEPAGE:CD				
Rally	CATEGORY:Special Ability	TYPE:ClassFeatures.WarpriestClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A warpriest who currently is not suffering from a fear effect can use this ability as a standard action. Allies within 60 feet who are suffering from any fear effect and who can hear the warpriest are allowed another saving throw against the fear effect, with a +1 morale bonus per warpriest level.	KEY:Warpriest ~ Rally	DESC:+%1 bonus.|RallyBonus			DEFINE:RallyBonus|0					BONUS:VAR|RallyBonus|WarpriestLVL																	SORTKEY:Class_Warpriest	SOURCEPAGE:CD				
Turn or Rebuke Undead	CATEGORY:Special Ability	TYPE:ClassFeatures.WarpriestClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Levels of warpriest stack with any of the character's cleric or paladin levels when turning or rebuking undead.	KEY:Warpriest ~ Turn or Rebuke Undead									BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|WarpriestLVL|TYPE=Level.REPLACE																	SORTKEY:Class_Warpriest	SOURCEPAGE:CD				
Inflame	CATEGORY:Special Ability	TYPE:ClassFeatures.WarpriestClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:As a full-round action, the warpriest can inflame the passions of his allies. All who can hear the warpriest gain a morale bonus on saving throws against any charm or fear effect. The bonus begins at +2 for a 2nd level warpriest and increases by +2 at each even-numbered level thereafter (+4 at 4th level, +6 at 6th level, and so on). This effect lasts for 5 minutes after the speech ends, plus 1 minute per level of the warpriest. The warpriest also gains the bonus.	KEY:Warpriest ~ Inflame	DESC:+%1 bonus.|InflameBonus			DEFINE:InflameBonus|0					BONUS:VAR|InflameBonus|(((WarpriestLVL)/2)*2)																	SORTKEY:Class_Warpriest	SOURCEPAGE:CD				
Mass Cure Light Wounds	CATEGORY:Special Ability	TYPE:ClassFeatures.WarpriestClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Starting at 3rd level, a warpriest can use mass cure light wounds once per day as a spell-like ability. Treat the warpriest's caster level for this effect as equal to his highest divine caster level.	KEY:Warpriest ~ Mass Cure Light Wounds																		SPELLS:Innate|TIMES=1|CASTERLEVEL=Caster_Level_Highest__Divine|Cure Light Wounds (Mass)								SORTKEY:Class_Warpriest	SOURCEPAGE:CD				
Fear Aura	CATEGORY:Special Ability	TYPE:ClassFeatures.WarpriestClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day starting at 5th level, a warpriest can emanate a fear aura in a 20-foot radius for 1 round per level. Foes must make a Will save (DC 10 + warpriest's class level + warpriest's Cha modifier) or be affected as if by a fear spell.	KEY:Warpriest ~ Fear Aura				DEFINE:FearAuraDC|0					BONUS:VAR|FearAuraDC|10+WarpriestLVL+CHA	BONUS:VAR|FearAuraDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Fear Aura)								ABILITY:Ability Focus|AUTOMATIC|Fear Aura								SORTKEY:Class_Warpriest	SOURCEPAGE:CD				
Heroes' Feast	CATEGORY:Special Ability	TYPE:ClassFeatures.WarpriestClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day, a warpriest of 6th level or higher can use heroes' feast as a spell-like ability.	KEY:Warpriest ~ Heroes' Feast																		SPELLS:Innate|TIMES=1|CASTERLEVEL=WarpriestLVL|Heroes' Feast								SORTKEY:Class_Warpriest	SOURCEPAGE:CD				
Haste	CATEGORY:Special Ability	TYPE:ClassFeatures.WarpriestClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:At 7th level, a warpriest gains the ability to use haste three times per day as a spell-like ability.	KEY:Warpriest ~ Haste																		SPELLS:Innate|TIMES=3|CASTERLEVEL=WarpriestLVL|Haste								SORTKEY:Class_Warpriest	SOURCEPAGE:CD				
Mass Heal	CATEGORY:Special Ability	TYPE:ClassFeatures.WarpriestClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day, a warpriest of 9th level or higher can use mass heal as a spell-like ability. Treat the warpriest's caster level for this effect as equal to his highest divine caster level.	KEY:Warpriest ~ Mass Heal																		SPELLS:Innate|TIMES=1|CASTERLEVEL=WarpriestLVL|Heal (Mass)								SORTKEY:Class_Warpriest	SOURCEPAGE:CD				
Implacable Foe	CATEGORY:Special Ability	TYPE:ClassFeatures.WarpriestClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 10th level, a warpriest can channel positive (or negative) energy to keep allies fighting even after suffering mortal wounds. Activating this ability requires only a move action, but the warpriest must concentrate to maintain it each round after that. While active, the warpriest emanates an aura with a 100- foot radius. Allies within the radius may ignore the effects of being reduced to 0 or less hp. However, any creature reduced to -20 hp dies immediately. When the effect ends, or if a creature moves more than 100 feet from the warpriest, the normal effects of the damage apply immediately. If the warpriest normally turns undead, this ability affects living allies. If the warpriest normally rebukes undead, this ability affects undead allies.	KEY:Warpriest ~ Implacable Foe																										SORTKEY:Class_Warpriest	SOURCEPAGE:CD				
